blind_id,direct_label,confidence,evidence,review_status,annotator,annotated_at
B1c3104edde63,focus,medium,writing and reading with brief upward looks,accepted,codex_visual_direct,2026-07-22T20:39:08+09:00
Bcb63c2cfce04,focus,high,reading and writing across sampled frames,accepted,codex_visual_direct,2026-07-22T20:39:08+09:00
B3bb2f9cd9287,focus,high,continuous worksheet writing,accepted,codex_visual_direct,2026-07-22T20:39:08+09:00
Bdab1f02b58f5,focus,high,continuous reading and writing,accepted,codex_visual_direct,2026-07-22T20:39:08+09:00
B3b0e1bd2be11,focus,high,writing on the worksheet throughout,accepted,codex_visual_direct,2026-07-22T20:39:08+09:00
Baf3e67e39e5f,focus,high,writing and reading throughout,accepted,codex_visual_direct,2026-07-22T20:39:08+09:00
B0b8008554b6f,focus,high,worksheet study continues despite leaning posture,accepted,codex_visual_direct,2026-07-22T20:39:08+09:00
B6e69333429e5,focus,high,reading and writing remain task directed,accepted,codex_visual_direct,2026-07-22T20:39:08+09:00
Bbad06cb7baae,focus,high,worksheet reading and writing across frames,accepted,codex_visual_direct,2026-07-22T20:39:35+09:00
B21f339454a12,focus,high,continuous task directed writing,accepted,codex_visual_direct,2026-07-22T20:39:35+09:00
B5f34b1f9ca00,focus,high,continuous worksheet writing,accepted,codex_visual_direct,2026-07-22T20:39:35+09:00
Ba2e73741953d,focus,high,writing and reading remain task directed,accepted,codex_visual_direct,2026-07-22T20:39:35+09:00
B3bcca3bfef69,focus,high,head down while actively writing,accepted,codex_visual_direct,2026-07-22T20:39:35+09:00
B9b1b6ae2e99b,focus,medium,worksheet study continues with brief face touch,accepted,codex_visual_direct,2026-07-22T20:39:35+09:00
B8bc92b8546e5,focus,high,active writing throughout,accepted,codex_visual_direct,2026-07-22T20:39:35+09:00
B84a5ce069ee6,focus,medium,active writing with brief mouth opening,accepted,codex_visual_direct,2026-07-22T20:39:35+09:00
B09b6c7625578,focus,high,writing hand and attentive forward gaze,accepted,codex_visual_direct,2026-07-22T20:39:35+09:00
B78f2a6f8569b,focus,high,task directed writing with stable gaze,accepted,codex_visual_direct,2026-07-22T20:39:35+09:00
B179e74604374,focus,medium,writing continues despite brief sideward head angle,accepted,codex_visual_direct,2026-07-22T20:39:35+09:00
B18a6a28dcf29,focus,medium,writing continues with mostly attentive face,accepted,codex_visual_direct,2026-07-22T20:39:35+09:00
B7b86ac749fba,focus,medium,writing continues with brief face touch,accepted,codex_visual_direct,2026-07-22T20:40:06+09:00
B4c702d73a69a,focus,high,continuous worksheet reading and writing,accepted,codex_visual_direct,2026-07-22T20:40:06+09:00
Befe5013d742e,focus,high,task directed writing throughout,accepted,codex_visual_direct,2026-07-22T20:40:06+09:00
B41946f420060,focus,high,worksheet work continues across frames,accepted,codex_visual_direct,2026-07-22T20:40:06+09:00
B01e68bebb4d7,focus,medium,visible writing continues while face briefly leaves frame,accepted,codex_visual_direct,2026-07-22T20:40:06+09:00
Bdbe83197f61c,focus,high,steady worksheet writing,accepted,codex_visual_direct,2026-07-22T20:40:06+09:00
Badaad500a4d0,focus,high,continuous writing with attentive forward view,accepted,codex_visual_direct,2026-07-22T20:40:06+09:00
B271f9d69037e,focus,high,writing and task directed gaze throughout,accepted,codex_visual_direct,2026-07-22T20:40:06+09:00
Bdeb041c28fce,focus,high,writing continues through head position change,accepted,codex_visual_direct,2026-07-22T20:40:06+09:00
B4e5cfa0d11c4,focus,high,reading and writing remain task directed,accepted,codex_visual_direct,2026-07-22T20:40:06+09:00
B3afe673d250e,focus,high,head down while actively writing,accepted,codex_visual_direct,2026-07-22T20:40:06+09:00
B5cde641db665,focus,high,continuous worksheet writing,accepted,codex_visual_direct,2026-07-22T20:40:06+09:00
Bbf346fe2bf9b,focus,high,continuous active writing,accepted,codex_visual_direct,2026-07-22T20:40:43+09:00
Bb263cd2079c9,focus,high,continuous worksheet writing,accepted,codex_visual_direct,2026-07-22T20:40:43+09:00
Badcd3211c00b,focus,high,head down while reading and writing,accepted,codex_visual_direct,2026-07-22T20:40:43+09:00
Bf4e46daf9ec0,focus,high,continuous task directed reading,accepted,codex_visual_direct,2026-07-22T20:40:43+09:00
Bc5727cc12bd7,focus,high,active writing throughout,accepted,codex_visual_direct,2026-07-22T20:40:43+09:00
Bdc1e8ed774aa,focus,high,writing and page handling remain task directed,accepted,codex_visual_direct,2026-07-22T20:40:43+09:00
