blind_id,source_group,split,direct_label,sample_count,analysis_source
B00ca5a5782d4,S6e15552f6684,test,unknown,20,interval_analysis
B00d73b7c9a92,Sb97749af3711,train,unknown,20,interval_analysis
B014284ec7a27,Sc17507c06476,train,focus,20,interval_analysis
B01908eed1d30,S38533928bb7e,train,gaze_side,14,source_analysis
B019b84ce925f,Sc17507c06476,train,focus,20,interval_analysis
B01d9c3c108d2,S48590909d975,test,focus,10,interval_analysis
B01e68bebb4d7,S08ea3e793bb0,train,focus,20,interval_analysis
B025115d6b980,Sb97749af3711,train,unknown,20,interval_analysis
B04879fb55140,Sb97749af3711,train,unknown,20,interval_analysis
B05a9ae4bf9ca,S9db00ba1fd68,test,focus,20,interval_analysis
B06bcce65dee2,S48590909d975,test,focus,12,interval_analysis
B077af2f5cb82,Sf8cdbc0a93cc,train,focus,20,interval_analysis
B07b7037d2e4b,Sa2e1233d8e16,test,unknown,20,interval_analysis
B080c948340b0,S6e15552f6684,test,unknown,20,interval_analysis
B0983d0ab8f3b,S8bb31e565816,train,gaze_side,20,interval_analysis
B09b6c7625578,S08ea3e793bb0,train,focus,20,interval_analysis
B0afcd57d47ce,S38533928bb7e,train,gaze_down,12,source_analysis
B0b8008554b6f,S08ea3e793bb0,train,focus,20,interval_analysis
B0bdae1fe045b,S38533928bb7e,train,gaze_side,20,source_analysis
B0d68604fa75d,Sf8cdbc0a93cc,train,focus,20,interval_analysis
B0e6df4ece148,Sb97749af3711,train,unknown,20,interval_analysis
B0fff4a1b74a4,S368e74a47605,test,focus,20,interval_analysis
B10b043362507,Sa2e1233d8e16,test,unknown,20,interval_analysis
B10c01407ef00,S38533928bb7e,train,gaze_side,18,source_analysis
B1152effdbf5f,Sf8cdbc0a93cc,train,focus,20,interval_analysis
B11cfccb7750f,Se9ae4c661219,train,focus,20,interval_analysis
B12747cb99bd9,Sf8cdbc0a93cc,train,focus,20,interval_analysis
B138fd1eb8119,Sf8cdbc0a93cc,train,focus,20,interval_analysis
B13d9532d9006,S38533928bb7e,train,gaze_side,10,source_analysis
B14214e50128f,Sc17507c06476,train,focus,10,interval_analysis
B146cb42a5af1,S38533928bb7e,train,gaze_down,20,source_analysis
B14905b1c2fcc,S70201e8c3420,test,unknown,20,interval_analysis
B179e74604374,S08ea3e793bb0,train,focus,20,interval_analysis
B18a6a28dcf29,S08ea3e793bb0,train,focus,20,interval_analysis
B19a50b4506ce,S8bb31e565816,train,gaze_side,20,interval_analysis
B1bf3931fad72,S38533928bb7e,train,gaze_side,12,source_analysis
B1c3104edde63,S08ea3e793bb0,train,focus,20,interval_analysis
B1c37aa842f63,S41983e9ca40a,train,unknown,20,interval_analysis
B1c5328c78f8c,S38533928bb7e,train,gaze_down,20,source_analysis
B1d96e0573611,Sb97749af3711,train,unknown,20,interval_analysis
B1d9f9cc279d0,S8bb31e565816,train,focus,20,interval_analysis
B1fd462c82952,Sa2e1233d8e16,test,unknown,20,interval_analysis
B1fe7f9b3d5d9,S38533928bb7e,train,gaze_down,20,source_analysis
B207b2feaa36f,Se9ae4c661219,train,focus,20,interval_analysis
B208ba8b85512,S38533928bb7e,train,gaze_down,20,source_analysis
B20c0fe5bcd4d,S38533928bb7e,train,gaze_side,20,source_analysis
B21f339454a12,S08ea3e793bb0,train,focus,20,interval_analysis
B2241ca37cc21,Se9ae4c661219,train,focus,20,interval_analysis
B22b2a047c364,S38533928bb7e,train,drowsy,12,source_analysis
B22b7ee7723e2,S38533928bb7e,train,focus,12,source_analysis
B23b4f87dc98d,S48590909d975,test,gaze_side,20,interval_analysis
B23c34720d1c8,Se9ae4c661219,train,focus,20,interval_analysis
B255b63e7e19f,S368e74a47605,test,focus,20,interval_analysis
B2577f69d085c,S48590909d975,test,focus,20,interval_analysis
B25a452b08be9,S9bc42787ea58,test,focus,20,interval_analysis
B26146371d2da,S48590909d975,test,focus,12,interval_analysis
B26dadc089e6e,Sc17507c06476,train,focus,20,interval_analysis
B271f9d69037e,S08ea3e793bb0,train,focus,20,interval_analysis
B2742f3df0090,S38533928bb7e,train,gaze_side,20,source_analysis
B27baca660dc1,Sc17507c06476,train,focus,20,interval_analysis
B27d283aa2f29,Sf8cdbc0a93cc,train,focus,20,interval_analysis
B28f500116894,S9db00ba1fd68,test,focus,20,interval_analysis
B291a710f10b9,S6e15552f6684,test,unknown,20,interval_analysis
B2a24d967c07a,Sb97749af3711,train,unknown,20,interval_analysis
B2afb94b13fbc,Sf8cdbc0a93cc,train,focus,20,interval_analysis
B2cd752476a97,Sf8cdbc0a93cc,train,focus,20,interval_analysis
B2d2e44f291fa,S48590909d975,test,gaze_side,20,interval_analysis
B2e2bbc87f4c8,S38533928bb7e,train,focus,20,source_analysis
B2ef6bbd4eac0,S8bb31e565816,train,gaze_side,20,interval_analysis
B2f223f7da66c,S41983e9ca40a,train,unknown,20,interval_analysis
B2fc3b25251a5,S8bb31e565816,train,gaze_side,20,interval_analysis
B3060f12d99a8,Se9ae4c661219,train,focus,20,interval_analysis
B30a3b16f5885,Sd507e72fb21a,train,unknown,20,interval_analysis
B318cef239ef4,S41983e9ca40a,train,unknown,20,interval_analysis
B31b763b18bba,Sc17507c06476,train,focus,20,interval_analysis
B32cfcb85603e,Sc17507c06476,train,focus,20,interval_analysis
B34148864908f,S5667ac92ef2d,test,gaze_down,20,interval_analysis
B34a888423972,S5667ac92ef2d,test,gaze_down,20,interval_analysis
B364ec0af27be,Se9ae4c661219,train,focus,20,interval_analysis
B36f097b84e90,S41983e9ca40a,train,unknown,20,interval_analysis
B3abe2d29ab08,Sb97749af3711,train,unknown,20,interval_analysis
B3afe673d250e,S08ea3e793bb0,train,focus,20,interval_analysis
B3b0c469f9ad1,S70201e8c3420,test,unknown,20,interval_analysis
B3b0e1bd2be11,S08ea3e793bb0,train,focus,20,interval_analysis
B3b695f4a5d75,Sb97749af3711,train,unknown,20,interval_analysis
B3bb2f9cd9287,S08ea3e793bb0,train,focus,20,interval_analysis
B3bcca3bfef69,S08ea3e793bb0,train,focus,20,interval_analysis
B3d02721ea082,S38533928bb7e,train,gaze_side,20,source_analysis
B3d286267b538,Se9ae4c661219,train,focus,20,interval_analysis
B3e9c05bd19c8,S38533928bb7e,train,gaze_down,20,source_analysis
B3f06516f89b2,Sc17507c06476,train,focus,20,interval_analysis
B3f393791e9d5,S38533928bb7e,train,gaze_side,20,source_analysis
B4057655cb575,Se9ae4c661219,train,focus,20,interval_analysis
B4123a8b4664b,S48590909d975,test,gaze_side,20,interval_analysis
B41946f420060,S08ea3e793bb0,train,focus,20,interval_analysis
B41b440c096cf,Sc17507c06476,train,focus,20,interval_analysis
B41fa5f3a49a1,S38533928bb7e,train,gaze_side,10,source_analysis
B43280046c1ad,S8bb31e565816,train,focus,20,interval_analysis
B435ccccb877f,S38533928bb7e,train,gaze_down,12,source_analysis
B44098786e7e3,Sd507e72fb21a,train,unknown,20,interval_analysis
B455b9ed4d66e,S38533928bb7e,train,gaze_side,20,source_analysis
B47e8d694b57e,S38533928bb7e,train,gaze_side,20,source_analysis
B4a1ead4ed460,Sb97749af3711,train,unknown,20,interval_analysis
B4a8159212cbd,S38533928bb7e,train,gaze_down,10,source_analysis
B4bc15e46f0d9,S9db00ba1fd68,test,focus,20,interval_analysis
B4c702d73a69a,S08ea3e793bb0,train,focus,20,interval_analysis
B4c8d162cb6f4,S8bb31e565816,train,gaze_side,20,interval_analysis
B4cce02b3cb5b,Sa2e1233d8e16,test,unknown,20,interval_analysis
B4dc6c1cd3ffe,S9db00ba1fd68,test,focus,20,interval_analysis
B4e5cfa0d11c4,S08ea3e793bb0,train,focus,20,interval_analysis
B4e974bfbb90e,Se9ae4c661219,train,focus,20,interval_analysis
B4ef5322d68a0,Se9ae4c661219,train,focus,20,interval_analysis
B4faf7e8b0752,Sf8cdbc0a93cc,train,focus,20,interval_analysis
B5075a69db3ec,S9bc42787ea58,test,focus,20,interval_analysis
B50d09795b7cb,Se9ae4c661219,train,focus,20,interval_analysis
B51a74b5bf607,S41983e9ca40a,train,unknown,20,interval_analysis
B53c4fb503256,Sa2e1233d8e16,test,unknown,20,interval_analysis
B53dce93c1224,Sc17507c06476,train,focus,20,interval_analysis
B551f835b2b73,S38533928bb7e,train,drowsy,20,source_analysis
B5752e24d5f38,S9bc42787ea58,test,focus,20,interval_analysis
B57749d000345,Se9ae4c661219,train,focus,20,interval_analysis
B5a6212af05ef,S8bb31e565816,train,focus,20,interval_analysis
B5bf8dbc8977d,S38533928bb7e,train,gaze_down,20,source_analysis
B5cd5c443a3e7,Sc17507c06476,train,focus,20,interval_analysis
B5cde641db665,S08ea3e793bb0,train,focus,20,interval_analysis
B5d4b41cba5d6,S8bb31e565816,train,focus,20,interval_analysis
B5e952b416228,S368e74a47605,test,focus,20,interval_analysis
B5f34b1f9ca00,S08ea3e793bb0,train,focus,20,interval_analysis
B5ff17cfb64dd,Sa2e1233d8e16,test,unknown,20,interval_analysis
B609f923f3e3c,S38533928bb7e,train,gaze_side,20,source_analysis
B627bf5765fdc,Sd507e72fb21a,train,unknown,20,interval_analysis
B62c0226ff47d,S38533928bb7e,train,drowsy,20,source_analysis
B631c7815087a,S38533928bb7e,train,gaze_side,20,source_analysis
B64dc9d10ea36,S38533928bb7e,train,gaze_down,20,source_analysis
B64f3e61c9f63,S8bb31e565816,train,gaze_side,20,interval_analysis
B6587d9f77f6c,S38533928bb7e,train,gaze_down,10,source_analysis
B661bdaaa1764,S5667ac92ef2d,test,drowsy,20,interval_analysis
B6630b192d77b,Sc17507c06476,train,focus,20,interval_analysis
B664a6a79bcbb,S5667ac92ef2d,test,gaze_down,20,interval_analysis
B66c650336426,Sd507e72fb21a,train,unknown,20,interval_analysis
B67309d0cbf96,Sd507e72fb21a,train,unknown,20,interval_analysis
B679b68dcd9bb,S38533928bb7e,train,drowsy,20,source_analysis
B68c2651dd7ae,Sc17507c06476,train,focus,20,interval_analysis
B68d3198240bf,S38533928bb7e,train,focus,20,source_analysis
B6950eb240447,Sc17507c06476,train,focus,20,interval_analysis
B69edac4c56f0,S38533928bb7e,train,drowsy,20,source_analysis
B6a0975c046b6,S48590909d975,test,focus,10,interval_analysis
B6a57d5db026e,Se9ae4c661219,train,focus,20,interval_analysis
B6adb9649c070,S38533928bb7e,train,gaze_side,16,source_analysis
B6c247186f35b,Sd507e72fb21a,train,unknown,10,interval_analysis
B6d6a8afe9046,S38533928bb7e,train,focus,20,source_analysis
B6e69333429e5,S08ea3e793bb0,train,focus,20,interval_analysis
